ACTUAL TIME (ms),TIME INTERVAL (ms),Accel X,Accel Y,label
10216,8,0.7180786,4.6759033,0
11634,2,0.46168518,4.3264313,0
1155,0,-1.2076111,3.9438324,0
12278,4,0.46037292,4.4455566,0
10639,4,0.4651184,4.555832,0
3895,4,-0.4072113,4.756531,0
8814,0,0.53759766,4.349945,0
4443,4,0.112716675,5.0776215,0
4872,0,0.17332458,5.1662903,0
4454,4,0.12532043,5.0902405,0
,20,1.5,17.5,1
2747,3,-0.53364563,4.7055817,0
,20,-1.8,3.8,1
7849,9,0.8941803,3.51326,0
905,0,-1.9615784,3.4265137,0
7997,4,0.68878174,3.1821442,0
,212,-0.2,-0.2,1
454,4,-3.57312,2.4487915,0
12188,4,0.4703064,4.4371033,0
1580,0,-2.2389984,5.3366394,0
1393,5,-0.4778595,4.5820312,0
7625,12,0.411026,3.3206787,0
10166,9,0.5267029,4.6551514,0
11185,5,0.457489,4.378662,0
6228,8,0.3415985,4.9430695,0
7824,0,0.74609375,3.2715302,0
2447,8,-1.0810242,4.9199524,0
12573,6,0.61550903,4.467102,0
624,0,-2.576355,4.55278,0
8426,3,-0.4281311,4.513275,0
12525,4,0.68014526,4.490387,0
2045,0,-1.5935211,4.939972,0
3782,4,-0.39239502,4.8127594,0
7103,5,0.274765,4.699188,0
905,0,-2.4207916,3.2034607,0
5689,8,0.10971069,4.7714386,0
1155,44,-1.4267578,3.774109,0
4181,4,0.11891174,5.1248474,0
,210,-0.5,-1.5,1
6766,0,0.21548462,4.9196167,0
3778,4,-0.37557983,4.836319,0
3606,2,-0.38690186,4.8046875,0
7869,5,0.8373718,3.4266968,0
9024,4,0.27685547,4.317322,0
12056,4,0.628067,4.481476,0
,112,-0.2,0.2,1
12274,4,0.47462463,4.4355927,0
12446,6,0.55708313,4.5173798,0
5943,4,0.1993103,4.726883,0
10185,5,0.5507965,4.670639,0
3593,6,-0.38633728,4.8415985,0
1493,4,-0.9375,5.422058,0
9543,3,0.66841125,4.6152954,0
4423,4,0.10295105,5.1063538,0
2674,9,-0.38668823,4.991089,0
,268,-0.2,-0.2,1
1709,5,-2.2130585,5.313507,0
4645,3,0.6331177,6.009674,0
8774,0,-0.14100647,4.2947235,0
12283,5,0.45108032,4.45195,0
10982,8,0.47184753,4.4456635,0
11446,3,0.45030212,4.4247894,0
9016,8,0.25836182,4.300705,0
6395,3,0.2558136,4.8190613,0
5392,8,0.20812988,5.07045,0
731,0,-3.2974396,5.0344086,0
8664,0,0.9369812,4.760803,0
,114,-0.6,-0.2,1
4819,0,0.26020813,4.914261,0
5864,3,0.32128906,5.053772,0
5833,3,0.6070862,5.245804,0
2962,3,-0.46199036,4.7871704,0
5278,4,-0.18759155,4.8534393,0
3744,5,-0.30393982,4.8755493,0
4819,0,0.17497253,4.9602966,0
9868,7,0.7501831,4.6843567,0
5408,8,0.22764587,5.0776215,0
,42,-13,-1,1
10310,4,0.7572479,4.743164,0
9594,3,0.81292725,4.6968384,0
10087,3,0.5591736,4.6107635,0
2331,3,-1.2088013,5.1624146,0
12184,8,0.45822144,4.4262085,0
3013,4,-0.44818115,4.790329,0
2975,4,-0.49183655,4.758789,0
7907,4,0.7419739,3.2632294,0
7376,8,0.5226898,4.690613,0
2369,5,-1.1717682,5.021286,0
8188,4,0.7069702,4.3852386,0
